 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  104      icalc       2
 -----------------------------------------------------------------------
   2   1.000   5.8054    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
     5.3095    2.3440   -0.1345  2  47 Ag
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  6.6687E-05 -7.7960E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  6.8976E-02 -8.9293E+00  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  1.3708E-01 -1.0004E+01  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  2.0348E-01 -1.1021E+01  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  2.6741E-01 -1.1982E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  3.2819E-01 -1.2886E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  3.8523E-01 -1.3737E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  4.3804E-01 -1.4533E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  4.8623E-01 -1.5278E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  5.2942E-01 -1.5971E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  5.6738E-01 -1.6615E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  5.9985E-01 -1.7209E+01  1.166E+00  3.6414E+00  2.0361E+00
  1.200  1.0011E+01  6.2661E-01 -1.7754E+01  1.182E+00  3.7051E+00  2.0912E+00
  1.300  9.9673E+00  6.4746E-01 -1.8251E+01  1.197E+00  3.7675E+00  2.1502E+00
  1.400  9.9176E+00  6.6225E-01 -1.8699E+01  1.211E+00  3.8280E+00  2.2132E+00
  1.500  9.8609E+00  6.7083E-01 -1.9097E+01  1.225E+00  3.8863E+00  2.2801E+00
  1.600  9.7967E+00  6.7312E-01 -1.9443E+01  1.237E+00  3.9431E+00  2.3510E+00
  1.700  9.7244E+00  6.6916E-01 -1.9734E+01  1.248E+00  3.9996E+00  2.4260E+00
  1.800  9.6434E+00  6.5921E-01 -1.9967E+01  1.256E+00  4.0580E+00  2.5052E+00
  1.900  9.5530E+00  6.4371E-01 -2.0135E+01  1.262E+00  4.1216E+00  2.5889E+00
  2.000  9.4455E+00  6.2044E-01 -2.0203E+01  1.263E+00  4.1979E+00  2.6797E+00
  2.200  9.1811E+00  5.8770E-01 -2.0144E+01  1.439E+00  3.6404E+00  2.8832E+00
  2.400  9.1237E+00  6.0870E-01 -2.0675E+01  1.565E+00  3.3097E+00  3.0213E+00
  2.600  9.0748E+00  6.4686E-01 -2.1168E+01  1.605E+00  3.1870E+00  3.1543E+00
  2.800  8.9958E+00  6.9919E-01 -2.1509E+01  1.599E+00  3.1603E+00  3.2982E+00
  3.000  8.9005E+00  7.8041E-01 -2.1774E+01  1.572E+00  3.1883E+00  3.4486E+00
  3.200  8.7960E+00  8.7465E-01 -2.1992E+01  1.526E+00  3.2518E+00  3.6049E+00
  3.400  8.6821E+00  9.6304E-01 -2.2176E+01  1.480E+00  3.3408E+00  3.7666E+00
  3.600  8.5642E+00  1.0378E+00 -2.2333E+01  1.434E+00  3.4492E+00  3.9328E+00
  3.800  8.4427E+00  1.0770E+00 -2.2465E+01  1.389E+00  3.5730E+00  4.1032E+00
  4.000  8.3174E+00  1.0908E+00 -2.2577E+01  1.350E+00  3.7094E+00  4.2771E+00
  4.200  8.1912E+00  1.0736E+00 -2.2675E+01  1.312E+00  3.8565E+00  4.4540E+00
  4.400  8.0612E+00  1.0318E+00 -2.2759E+01  1.278E+00  4.0127E+00  4.6336E+00
  4.600  7.9287E+00  9.6995E-01 -2.2831E+01  1.249E+00  4.1768E+00  4.8156E+00
  4.800  7.7943E+00  8.9410E-01 -2.2891E+01  1.224E+00  4.3480E+00  4.9995E+00
  5.000  7.6579E+00  8.1091E-01 -2.2931E+01  1.198E+00  4.5254E+00  5.1852E+00
  5.200  7.5208E+00  7.2757E-01 -2.2949E+01  1.175E+00  4.7085E+00  5.3723E+00
  5.400  7.3831E+00  6.4923E-01 -2.2937E+01  1.154E+00  4.8966E+00  5.5608E+00
  5.600  7.2468E+00  5.7921E-01 -2.2892E+01  1.133E+00  5.0894E+00  5.7505E+00
  5.800  7.1123E+00  5.2411E-01 -2.2815E+01  1.114E+00  5.2866E+00  5.9411E+00
  6.000  6.9805E+00  4.8545E-01 -2.2712E+01  1.096E+00  5.4877E+00  6.1326E+00
  6.500  6.6665E+00  4.5928E-01 -2.2432E+01  1.060E+00  6.0062E+00  6.6147E+00
  7.000  6.3749E+00  4.9701E-01 -2.2241E+01  1.034E+00  6.5444E+00  7.1003E+00
  7.500  6.0898E+00  5.6182E-01 -2.2170E+01  1.014E+00  7.0997E+00  7.5886E+00
  8.000  5.8126E+00  6.2253E-01 -2.2183E+01  9.936E-01  7.6702E+00  8.0790E+00
  8.500  5.5408E+00  6.6359E-01 -2.2239E+01  9.755E-01  8.2543E+00  8.5711E+00
  9.000  5.2819E+00  6.8357E-01 -2.2319E+01  9.607E-01  8.8507E+00  9.0643E+00
  9.500  5.0368E+00  6.9175E-01 -2.2413E+01  9.502E-01  9.4583E+00  9.5586E+00
 10.000  4.8009E+00  6.9110E-01 -2.2511E+01  9.431E-01  1.0076E+01  1.0054E+01
 11.000  4.3516E+00  6.5866E-01 -2.2720E+01  9.325E-01  1.1340E+01  1.1046E+01
 12.000  3.9415E+00  6.1069E-01 -2.2936E+01  9.262E-01  1.2637E+01  1.2040E+01
 13.000  3.5597E+00  5.5347E-01 -2.3150E+01  9.235E-01  1.3963E+01  1.3035E+01
 14.000  3.2049E+00  4.9720E-01 -2.3356E+01  9.219E-01  1.5316E+01  1.4031E+01
 15.000  2.8756E+00  4.4495E-01 -2.3551E+01  9.220E-01  1.6692E+01  1.5028E+01
 16.000  2.5671E+00  4.0111E-01 -2.3735E+01  9.223E-01  1.8089E+01  1.6025E+01
 17.000  2.2792E+00  3.6194E-01 -2.3921E+01  9.229E-01  1.9505E+01  1.7023E+01
 18.000  2.0070E+00  3.2511E-01 -2.4106E+01  9.228E-01  2.0939E+01  1.8021E+01
 19.000  1.7504E+00  2.9354E-01 -2.4285E+01  9.226E-01  2.2390E+01  1.9019E+01
 20.000  1.5068E+00  2.6703E-01 -2.4457E+01  9.228E-01  2.3855E+01  2.0018E+01
