 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  105      icalc       2
 -----------------------------------------------------------------------
   3   2.000   5.8116    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
     5.3095    2.3440   -0.1345  2  47 Ag
     2.6490    0.9690   -0.1080  2  47 Ag
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  4.4199E-05 -9.5178E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  4.5641E-02 -1.0657E+01  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  9.0285E-02 -1.1749E+01  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  1.3306E-01 -1.2792E+01  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  1.7330E-01 -1.3790E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  2.1061E-01 -1.4740E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  2.4490E-01 -1.5645E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  2.7626E-01 -1.6504E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  3.0496E-01 -1.7318E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  3.3139E-01 -1.8086E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  3.5576E-01 -1.8809E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  3.7832E-01 -1.9486E+01  1.166E+00  3.6414E+00  2.0361E+00
  1.200  1.0011E+01  3.9917E-01 -2.0115E+01  1.182E+00  3.7051E+00  2.0912E+00
  1.300  9.9673E+00  4.1822E-01 -2.0697E+01  1.197E+00  3.7675E+00  2.1502E+00
  1.400  9.9176E+00  4.3530E-01 -2.1230E+01  1.211E+00  3.8280E+00  2.2132E+00
  1.500  9.8609E+00  4.5005E-01 -2.1711E+01  1.225E+00  3.8863E+00  2.2801E+00
  1.600  9.7967E+00  4.6215E-01 -2.2139E+01  1.237E+00  3.9431E+00  2.3510E+00
  1.700  9.7244E+00  4.7136E-01 -2.2508E+01  1.248E+00  3.9996E+00  2.4260E+00
  1.800  9.6434E+00  4.7760E-01 -2.2815E+01  1.256E+00  4.0580E+00  2.5052E+00
  1.900  9.5530E+00  4.8153E-01 -2.3051E+01  1.262E+00  4.1216E+00  2.5889E+00
  2.000  9.4455E+00  4.8267E-01 -2.3180E+01  1.263E+00  4.1979E+00  2.6797E+00
  2.200  9.1811E+00  5.3081E-01 -2.3150E+01  1.439E+00  3.6404E+00  2.8832E+00
  2.400  9.1237E+00  5.9078E-01 -2.3666E+01  1.565E+00  3.3097E+00  3.0213E+00
  2.600  9.0748E+00  7.1970E-01 -2.4168E+01  1.605E+00  3.1870E+00  3.1543E+00
  2.800  8.9958E+00  9.3329E-01 -2.4564E+01  1.599E+00  3.1603E+00  3.2982E+00
  3.000  8.9005E+00  1.2303E+00 -2.4917E+01  1.572E+00  3.1883E+00  3.4486E+00
  3.200  8.7960E+00  1.5626E+00 -2.5216E+01  1.526E+00  3.2518E+00  3.6049E+00
  3.400  8.6821E+00  1.8691E+00 -2.5463E+01  1.480E+00  3.3408E+00  3.7666E+00
