 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  172      icalc       2
 -----------------------------------------------------------------------
   2   1.000   7.6516    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
    -3.1015    3.1380   -6.2515  1  79 Au
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  7.0396E-05 -7.9229E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  7.2876E-02 -9.4154E+00  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  1.4521E-01 -1.0828E+01  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  2.1647E-01 -1.2163E+01  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  2.8614E-01 -1.3422E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  3.5376E-01 -1.4605E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  4.1887E-01 -1.5716E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  4.8108E-01 -1.6755E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  5.4003E-01 -1.7725E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  5.9540E-01 -1.8629E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  6.4687E-01 -1.9467E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  6.9413E-01 -2.0241E+01  1.166E+00  3.6414E+00  2.0361E+00
