 Formula: Ag55Au92                              Feff8L (EXAFS)       0.1
 SpaceGroup: P1
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=47 Rmt= 1.558 Rnm= 1.611 K  shell
 Pot 1 Z=79 Rmt= 1.593 Rnm= 1.655
 Pot 2 Z=47 Rmt= 1.519 Rnm= 1.565
 Gam_ch=8.302E+00 H-L exch
 Mu=-1.286E+00 kf=1.700E+00 Vint=-1.230E+01 Rs_int= 2.133
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  145      icalc       2
 -----------------------------------------------------------------------
   2   1.000   7.4369    3.0611   -1.28562 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  47 Ag       absorbing atom
     0.4515    6.3660    3.8180  1  79 Au
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  1.0198E+01  7.0473E-05 -8.6485E+00  1.050E+00  3.1743E+00  1.7293E+00
  0.100  1.0197E+01  7.2954E-02 -1.0099E+01  1.052E+00  3.1792E+00  1.7320E+00
  0.200  1.0195E+01  1.4535E-01 -1.1472E+01  1.055E+00  3.1939E+00  1.7400E+00
  0.300  1.0190E+01  2.1665E-01 -1.2770E+01  1.062E+00  3.2180E+00  1.7534E+00
  0.400  1.0183E+01  2.8634E-01 -1.3994E+01  1.070E+00  3.2509E+00  1.7720E+00
  0.500  1.0174E+01  3.5392E-01 -1.5145E+01  1.080E+00  3.2918E+00  1.7957E+00
  0.600  1.0162E+01  4.1895E-01 -1.6225E+01  1.093E+00  3.3398E+00  1.8244E+00
  0.700  1.0148E+01  4.8105E-01 -1.7236E+01  1.106E+00  3.3935E+00  1.8578E+00
  0.800  1.0129E+01  5.3984E-01 -1.8180E+01  1.120E+00  3.4519E+00  1.8958E+00
  0.900  1.0107E+01  5.9501E-01 -1.9059E+01  1.135E+00  3.5135E+00  1.9383E+00
  1.000  1.0080E+01  6.4625E-01 -1.9875E+01  1.151E+00  3.5771E+00  1.9851E+00
  1.100  1.0048E+01  6.9325E-01 -2.0629E+01  1.166E+00  3.6414E+00  2.0361E+00
  1.200  1.0011E+01  7.3567E-01 -2.1322E+01  1.182E+00  3.7051E+00  2.0912E+00
  1.300  9.9673E+00  7.7315E-01 -2.1955E+01  1.197E+00  3.7675E+00  2.1502E+00
  1.400  9.9176E+00  8.0523E-01 -2.2528E+01  1.211E+00  3.8280E+00  2.2132E+00
  1.500  9.8609E+00  8.3142E-01 -2.3040E+01  1.225E+00  3.8863E+00  2.2801E+00
  1.600  9.7967E+00  8.5117E-01 -2.3489E+01  1.237E+00  3.9431E+00  2.3510E+00
  1.700  9.7244E+00  8.6388E-01 -2.3875E+01  1.248E+00  3.9996E+00  2.4260E+00
  1.800  9.6434E+00  8.6898E-01 -2.4192E+01  1.256E+00  4.0580E+00  2.5052E+00
  1.900  9.5530E+00  8.6552E-01 -2.4434E+01  1.262E+00  4.1216E+00  2.5889E+00
  2.000  9.4455E+00  8.4230E-01 -2.4561E+01  1.263E+00  4.1979E+00  2.6797E+00
  2.200  9.1811E+00  8.3664E-01 -2.4595E+01  1.439E+00  3.6404E+00  2.8832E+00
  2.400  9.1237E+00  8.7124E-01 -2.5418E+01  1.565E+00  3.3097E+00  3.0213E+00
  2.600  9.0748E+00  8.7586E-01 -2.6223E+01  1.605E+00  3.1870E+00  3.1543E+00
  2.800  8.9958E+00  8.4419E-01 -2.6831E+01  1.599E+00  3.1603E+00  3.2982E+00
  3.000  8.9005E+00  8.0626E-01 -2.7306E+01  1.572E+00  3.1883E+00  3.4486E+00
  3.200  8.7960E+00  7.7025E-01 -2.7682E+01  1.526E+00  3.2518E+00  3.6049E+00
  3.400  8.6821E+00  7.3487E-01 -2.7993E+01  1.480E+00  3.3408E+00  3.7666E+00
  3.600  8.5642E+00  7.0195E-01 -2.8263E+01  1.434E+00  3.4492E+00  3.9328E+00
  3.800  8.4427E+00  6.5740E-01 -2.8503E+01  1.389E+00  3.5730E+00  4.1032E+00
  4.000  8.3174E+00  6.0858E-01 -2.8720E+01  1.350E+00  3.7094E+00  4.2771E+00
  4.200  8.1912E+00  5.4957E-01 -2.8918E+01  1.312E+00  3.8565E+00  4.4540E+00
  4.400  8.0612E+00  4.8631E-01 -2.9095E+01  1.278E+00  4.0127E+00  4.6336E+00
  4.600  7.9287E+00  4.1959E-01 -2.9256E+01  1.249E+00  4.1768E+00  4.8156E+00
  4.800  7.7943E+00  3.5182E-01 -2.9413E+01  1.224E+00  4.3480E+00  4.9995E+00
  5.000  7.6579E+00  2.7719E-01 -2.9563E+01  1.198E+00  4.5254E+00  5.1852E+00
  5.200  7.5208E+00  2.0284E-01 -2.9742E+01  1.175E+00  4.7085E+00  5.3723E+00
  5.400  7.3831E+00  1.2707E-01 -3.0008E+01  1.154E+00  4.8966E+00  5.5608E+00
  5.600  7.2468E+00  6.4460E-02 -3.0692E+01  1.133E+00  5.0894E+00  5.7505E+00
  5.800  7.1123E+00  7.5158E-02 -3.2011E+01  1.114E+00  5.2866E+00  5.9411E+00
  6.000  6.9805E+00  1.4160E-01 -3.2496E+01  1.096E+00  5.4877E+00  6.1326E+00
