 Formula: Fe2O3                                 Feff8L (EXAFS)       0.1
 SpaceGroup: R-3c
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=26 Rmt= 1.286 Rnm= 1.378 K  shell
 Pot 1 Z= 8 Rmt= 1.012 Rnm= 1.086
 Pot 2 Z=26 Rmt= 1.289 Rnm= 1.385
 Gam_ch=1.309E+00 H-L exch
 Mu=-1.025E+00 kf=2.246E+00 Vint=-2.024E+01 Rs_int= 1.615
 PATH  Rmax= 8.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path  147      icalc       2
 -----------------------------------------------------------------------
   5   6.000   6.5808    2.3017   -1.02520 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  26 Fe       absorbing atom
     0.9779   -1.4544    0.8451  1   8 O
     2.5190   -4.3630    3.9856  2  26 Fe
     1.5411   -2.9087    3.1405  1   8 O
     0.9779   -1.4544    0.8451  1   8 O
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1029E+00  2.5263E-05 -4.0802E+00  1.008E+00  2.6149E+01  2.2458E+00
  0.100  3.1025E+00  2.2602E-02 -5.3741E+00  1.008E+00  2.6173E+01  2.2480E+00
  0.200  3.1011E+00  4.4590E-02 -6.6195E+00  1.008E+00  2.6245E+01  2.2543E+00
  0.300  3.0987E+00  6.5389E-02 -7.8180E+00  1.009E+00  2.6356E+01  2.2649E+00
  0.400  3.0954E+00  8.4503E-02 -8.9701E+00  1.009E+00  2.6495E+01  2.2797E+00
  0.500  3.0911E+00  1.0154E-01 -1.0077E+01  1.009E+00  2.6647E+01  2.2985E+00
  0.600  3.0856E+00  1.1622E-01 -1.1138E+01  1.009E+00  2.6792E+01  2.3213E+00
  0.700  3.0790E+00  1.2839E-01 -1.2156E+01  1.010E+00  2.6907E+01  2.3480E+00
  0.800  3.0711E+00  1.3800E-01 -1.3131E+01  1.010E+00  2.6969E+01  2.3785E+00
  0.900  3.0619E+00  1.4510E-01 -1.4064E+01  1.011E+00  2.6954E+01  2.4126E+00
  1.000  3.0511E+00  1.4982E-01 -1.4956E+01  1.011E+00  2.6840E+01  2.4503E+00
  1.100  3.0388E+00  1.5233E-01 -1.5808E+01  1.012E+00  2.6611E+01  2.4914E+00
  1.200  3.0248E+00  1.5285E-01 -1.6621E+01  1.013E+00  2.6257E+01  2.5359E+00
  1.300  3.0089E+00  1.5160E-01 -1.7396E+01  1.015E+00  2.5776E+01  2.5836E+00
  1.400  2.9910E+00  1.4882E-01 -1.8132E+01  1.016E+00  2.5174E+01  2.6344E+00
  1.500  2.9710E+00  1.4473E-01 -1.8832E+01  1.018E+00  2.4465E+01  2.6883E+00
  1.600  2.9485E+00  1.3953E-01 -1.9493E+01  1.021E+00  2.3671E+01  2.7452E+00
